question,answer
How can I search for logs that contain the phrase 'User logged in'?,"{""query"": {""match_phrase"": {""message"": ""User logged in""}}}"
How do I filter logs by user_id equals 4?,"{""query"": {""bool"": {""filter"": [{""term"": {""user_id"": 4}}]}}}"
How can I get logs with timestamps after 2023-01-01?,"{""query"": {""range"": {""timestamp"": {""gte"": ""2023-01-01""}}}}"
How can I exclude logs where admin is true?,"{""query"": {""bool"": {""must_not"": [{""term"": {""admin"": true}}]}}}"
How do I fuzzy match on username similar to 'john'?,"{""query"": {""fuzzy"": {""username"": {""value"": ""john"", ""fuzziness"": 2}}}}"
How do I get logs where status is published and date is after 2020?,"{""query"": {""bool"": {""filter"": [{""term"": {""status"": ""published""}}, {""range"": {""publish_date"": {""gte"": ""2020-01-01""}}}]}}}"
How can I check if message starts with 'login'?,"{""query"": {""wildcard"": {""message"": {""value"": ""login*""}}}}"
How do I find logs in a given IP subnet 192.168.1.0/24?,"{""query"": {""bool"": {""filter"": [{""term"": {""ip_address"": ""192.168.1.0/24""}}]}}}"
How can I return all documents from logs index?,"{""query"": {""match_all"": {}}}"
How do I check for existence of error_code field?,"{""query"": {""exists"": {""field"": ""error_code""}}}"
How can I search for logs that contain the phrase 'User logged in'?,"{""query"": {""match_phrase"": {""message"": ""User logged in""}}}"
How do I filter logs by user_id equals 4?,"{""query"": {""bool"": {""filter"": [{""term"": {""user_id"": 4}}]}}}"
How can I get logs with timestamps after 2023-01-01?,"{""query"": {""range"": {""timestamp"": {""gte"": ""2023-01-01""}}}}"
How can I exclude logs where admin is true?,"{""query"": {""bool"": {""must_not"": [{""term"": {""admin"": true}}]}}}"
How do I fuzzy match on username similar to 'john'?,"{""query"": {""fuzzy"": {""username"": {""value"": ""john"", ""fuzziness"": 2}}}}"
How do I get logs where status is published and date is after 2020?,"{""query"": {""bool"": {""filter"": [{""term"": {""status"": ""published""}}, {""range"": {""publish_date"": {""gte"": ""2020-01-01""}}}]}}}"
How can I check if message starts with 'login'?,"{""query"": {""wildcard"": {""message"": {""value"": ""login*""}}}}"
