question,answer
What is the difference between analyzed and non-analyzed fields? [variant 1],"Analyzed fields are processed into tokens for full-text search, while non-analyzed fields store exact values."
What is the benefit of filter context? [variant 2],Filter context improves performance by avoiding score computation and enabling caching of results.
What is a shard in Elasticsearch? [variant 3],A shard is a subset of an index that allows Elasticsearch to scale data and operations across a cluster.
What is the ELK stack? [variant 4],"The ELK stack consists of Elasticsearch, Logstash, and Kibana, used for searching, analyzing, and visualizing log data."
What is full-text search? [variant 5],Full-text search is the ability to search within the content of text fields using analyzed tokens.
What is the purpose of log analysis? [variant 6],"Log analysis helps detect anomalies, monitor systems, and troubleshoot issues by analyzing log data."
How do you search for data in Elasticsearch? [variant 7],"You use Query DSL, a JSON-based language, to create complex and flexible search queries."
How do you search for data in Elasticsearch? [variant 8],"You use Query DSL, a JSON-based language, to create complex and flexible search queries."
What is a shard in Elasticsearch? [variant 9],A shard is a subset of an index that allows Elasticsearch to scale data and operations across a cluster.
What is a bool query? [variant 10],"A bool query allows you to combine multiple query clauses using must, should, must_not, and filter."
What is a mapping in Elasticsearch? [variant 11],A mapping defines the data types and structure of documents in an Elasticsearch index.
What is a document in Elasticsearch? [variant 12],A document is a JSON-formatted unit of data stored in an Elasticsearch index.
What is a bool query? [variant 13],"A bool query allows you to combine multiple query clauses using must, should, must_not, and filter."
How does Logstash integrate with Elasticsearch? [variant 14],"Logstash collects, processes, and forwards data to Elasticsearch for indexing and analysis."
What is Kibana used for? [variant 15],Kibana is used to visualize Elasticsearch data and create dashboards for analysis.
What is the ELK stack? [variant 16],"The ELK stack consists of Elasticsearch, Logstash, and Kibana, used for searching, analyzing, and visualizing log data."
What is Elasticsearch? [variant 17],"Elasticsearch is a distributed search and analytics engine used for log analysis, full-text search, and monitoring data."
What is the difference between match and term queries? [variant 18],"Match queries are used for full-text search, while term queries are for exact matches."
What are aggregations in Elasticsearch? [variant 19],"Aggregations compute summaries such as averages, counts, and percentiles over sets of documents."
What is the benefit of filter context? [variant 20],Filter context improves performance by avoiding score computation and enabling caching of results.
What are aggregations in Elasticsearch? [variant 21],"Aggregations compute summaries such as averages, counts, and percentiles over sets of documents."
What are aggregations in Elasticsearch? [variant 22],"Aggregations compute summaries such as averages, counts, and percentiles over sets of documents."
What is the purpose of log analysis? [variant 23],"Log analysis helps detect anomalies, monitor systems, and troubleshoot issues by analyzing log data."
What is full-text search? [variant 24],Full-text search is the ability to search within the content of text fields using analyzed tokens.
What is an index in Elasticsearch? [variant 25],An index is a collection of documents that share similar characteristics and is used to organize data.
