question,answer
How do I insert a new document with random data into the 'security' index?,"POST /security/_doc
{
  ""status_code"": ""Unauthorized access"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I retrieve document ID 462 from the 'metrics' index?,GET /metrics/_doc/462
How do I insert a new document with random data into the 'logs' index?,"POST /logs/_doc
{
  ""username"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 200 in the 'logs' index?,"PUT /logs/_doc/200
{
  ""user_id"": ""Unauthorized access"",
  ""updated"": true
}"
How do I update or create a document with ID 352 in the 'security' index?,"PUT /security/_doc/352
{
  ""status_code"": ""User logged in"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'security' index?,"POST /security/_doc
{
  ""timestamp"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'audit' index?,"POST /audit/_doc
{
  ""username"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'logs' index?,"POST /logs/_doc
{
  ""event_type"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'metrics' index?,"POST /metrics/_doc
{
  ""event_type"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 232 in the 'app' index?,"PUT /app/_doc/232
{
  ""message"": ""User logged in"",
  ""updated"": true
}"
How do I search for documents in 'audit' where 'username' contains 'Unauthorized access'?,"GET /audit/_search
{
  ""query"": {
    ""match_phrase"": {
      ""username"": ""Unauthorized access""
    }
  }
}"
How do I retrieve document ID 206 from the 'app' index?,GET /app/_doc/206
How do I insert a new document with random data into the 'app' index?,"POST /app/_doc
{
  ""event_type"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 435 in the 'security' index?,"PUT /security/_doc/435
{
  ""message"": ""Login failed"",
  ""updated"": true
}"
How do I update or create a document with ID 30 in the 'metrics' index?,"PUT /metrics/_doc/30
{
  ""status_code"": ""Unauthorized access"",
  ""updated"": true
}"
How do I delete a specific document with ID 165 from the 'logs' index?,DELETE /logs/_doc/165
How do I delete the entire 'users' index?,DELETE /users
How do I search for documents in 'events' where 'username' contains 'System rebooted'?,"GET /events/_search
{
  ""query"": {
    ""match_phrase"": {
      ""username"": ""System rebooted""
    }
  }
}"
How do I insert a new document with random data into the 'users' index?,"POST /users/_doc
{
  ""user_id"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete a specific document with ID 82 from the 'logs' index?,DELETE /logs/_doc/82
How do I update or create a document with ID 446 in the 'users' index?,"PUT /users/_doc/446
{
  ""user_id"": ""Login failed"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'logs' index?,"POST /logs/_doc
{
  ""status_code"": ""System rebooted"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'logs' index?,"POST /logs/_doc
{
  ""event_type"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'metrics' index?,"POST /metrics/_doc
{
  ""status_code"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'app' index?,"POST /app/_doc
{
  ""event_type"": ""File uploaded"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I search for documents in 'audit' where 'username' contains 'User logged in'?,"GET /audit/_search
{
  ""query"": {
    ""match_phrase"": {
      ""username"": ""User logged in""
    }
  }
}"
How do I delete the entire 'metrics' index?,DELETE /metrics
How do I delete a specific document with ID 462 from the 'users' index?,DELETE /users/_doc/462
How do I insert a new document with random data into the 'metrics' index?,"POST /metrics/_doc
{
  ""timestamp"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I update or create a document with ID 273 in the 'security' index?,"PUT /security/_doc/273
{
  ""timestamp"": ""Unauthorized access"",
  ""updated"": true
}"
How do I delete a specific document with ID 423 from the 'security' index?,DELETE /security/_doc/423
How do I delete the entire 'audit' index?,DELETE /audit
How do I update or create a document with ID 285 in the 'logs' index?,"PUT /logs/_doc/285
{
  ""user_id"": ""User logged in"",
  ""updated"": true
}"
How do I update or create a document with ID 64 in the 'app' index?,"PUT /app/_doc/64
{
  ""message"": ""Login failed"",
  ""updated"": true
}"
How do I delete a specific document with ID 455 from the 'logs' index?,DELETE /logs/_doc/455
How do I insert a new document with random data into the 'logs' index?,"POST /logs/_doc
{
  ""user_id"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete the entire 'events' index?,DELETE /events
How do I delete the entire 'audit' index?,DELETE /audit
How do I delete the entire 'logs' index?,DELETE /logs
How do I retrieve document ID 246 from the 'audit' index?,GET /audit/_doc/246
How do I delete a specific document with ID 336 from the 'audit' index?,DELETE /audit/_doc/336
How do I delete the entire 'security' index?,DELETE /security
How do I update or create a document with ID 209 in the 'audit' index?,"PUT /audit/_doc/209
{
  ""user_id"": ""Unauthorized access"",
  ""updated"": true
}"
How do I insert a new document with random data into the 'users' index?,"POST /users/_doc
{
  ""event_type"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I delete a specific document with ID 56 from the 'app' index?,DELETE /app/_doc/56
How do I insert a new document with random data into the 'users' index?,"POST /users/_doc
{
  ""timestamp"": ""Login failed"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
How do I insert a new document with random data into the 'security' index?,"POST /security/_doc
{
  ""user_id"": ""User logged in"",
  ""timestamp"": ""2023-01-01T00:00:00Z""
}"
